customer_id,age,annual_income,spending_score,gender,city,membership_years,last_purchase_amount,total_spent,avg_transaction,transaction_count,spending_volatility,avg_discount,last_purchase
1,40,39822.57904269167,58.707156191670464,Female,Houston,2.4,68.9054531117573,1224.43,136.05,9.0,207.69,7.22,2024-03-19 17:30:11.052221048
2,33,45417.508054195205,57.08308981339166,Female,Houston,0.5,41.45723554651336,138.05,69.03,2.0,10.24,20.0,2023-09-28 05:32:35.343106864
3,42,50250.56189004144,26.58700385486272,Female,Los Angeles,1.9,53.11081276897867,0.0,0.0,0.0,0.0,0.0,
4,53,51656.2707041918,64.48960554409345,Female,New York,0.1,389.0250850752992,215.65,71.88,3.0,57.09,16.67,2024-01-26 07:43:51.724634492
5,32,67957.67797192869,12.747933110584547,Male,Chicago,3.3,75.8418558723588,140.54,46.85,3.0,37.88,6.67,2023-11-01 20:09:04.618892376
6,32,38434.36764288193,33.64539185599178,Female,Chicago,3.4,118.05233277183405,536.81,76.69,7.0,131.72,8.57,2024-05-13 03:50:36.372727456
7,53,65012.30746652621,0.0228046775548051,Female,Chicago,0.7,24.57637894509708,214.2,53.55,4.0,25.38,11.25,2023-12-05 16:23:42.748454968
8,44,38274.91891479668,88.96566292407037,Male,Los Angeles,0.2,127.2986695856339,469.77,52.2,9.0,53.94,12.22,2024-05-29 02:45:43.110862216
9,29,37285.591812546736,44.21126265136761,Female,New York,2.8,36.63693955433661,155.6,155.6,1.0,0.0,0.0,2024-01-23 01:03:45.868517372
10,41,50250.56189004144,104.1721008704078,Female,Los Angeles,1.3,9.571257185912309,332.01,66.4,5.0,89.23,17.0,2024-04-22 21:11:30.997819960
11,29,63829.045670114254,70.07374816298737,Male,Phoenix,5.2,67.50557329900522,451.88,64.55,7.0,43.48,9.29,2024-04-28 14:10:44.412888256
12,29,62771.14905143982,61.20245533377561,Female,Phoenix,0.9,61.868639904683896,449.51,64.22,7.0,49.35,5.71,2024-03-24 05:12:23.990879816
13,37,50250.56189004144,35.34430764297502,Male,Houston,3.7,78.0386496988512,76.07,15.21,5.0,7.97,3.0,2024-05-11 11:53:19.959999200
14,12,43010.73532891924,23.841249107814505,Female,New York,0.1,41.87546495177151,156.21,19.53,8.0,11.86,8.12,2024-05-09 17:27:09.608592168
15,14,62344.82888004982,63.07428934742363,Male,Chicago,3.0,156.06736170330015,293.99,73.5,4.0,32.83,7.5,2024-05-10 20:15:16.146322928
